scenario,region,variables,unit,2020,2030,2050
S1,FR,Production|Electricity|Nuclear,TWh/year,348.5535264,258.8897445,9.93607041
S1,FR,Production|Electricity|Conventional|Mix gas|Combined Cycle Turbines,TWh/year,0.648291578,0.830428416,4.58529902
S1,FR,Production|Electricity|Conventional|Mix gas|Open Cycle Turbines,TWh/year,0.002240017,0.01319993,0.288225842
S1,FR,Production|Electricity|Conventional|Mix gas|Cycle Turbines total,TWh/year,0.650531595,0.843628346,4.873524862
S1,FR,Production|Electricity|Conventional|Coal,TWh/year,7.394066187,0,0
S1,FR,Production|Electricity|Conventional|Fuel oil and Mix gas|CHP,TWh/year,10.69048252,3.309134524,0
S1,FR,Production|Electricity|Conventional|Fuel oil|CHP,TWh/year,1.960600014,0,0
S1,FR,Production|Electricity|Conventional|Mix gas|CHP,TWh/year,8.72988251,3.309134524,0
S1,FR,Production|Electricity|Renewable|Photovoltaic ground fix,TWh/year,5.09069132,15.66474338,35.5456216
S1,FR,Production|Electricity|Renewable|Photovoltaic ground tracker,TWh/year,0,4.50E-10,11.02299416
S1,FR,Production|Electricity|Renewable|Photovoltaic ground total,TWh/year,5.09069132,15.66474338,46.56861575
S1,FR,Production|Electricity|Renewable|Photovoltaic roof large,TWh/year,4.527400137,7.66410922,25.67787782
S1,FR,Production|Electricity|Renewable|Photovoltaic roof small,TWh/year,1.719538834,6.327814016,43.91893226
S1,FR,Production|Electricity|Renewable|Photovoltaic roof total,TWh/year,6.246938971,13.99192324,69.59681008
S1,FR,Production|Electricity|Renewable|Photovoltaic total,TWh/year,11.33763029,29.65666662,116.1654258
S1,FR,Production|Electricity|Renewable|Wind turbines|Fixed Offshore,TWh/year,0,12.22681839,31.55946485
S1,FR,Production|Electricity|Renewable|Wind turbines|Floating Offshore,TWh/year,0,2.712215844,17.97320844
S1,FR,Production|Electricity|Renewable|Wind turbines|Offshore total,TWh/year,0,14.93903424,49.53267329
S1,FR,Production|Electricity|Renewable|Wind turbines|Onshore total,TWh/year,29.6547338,52.72811406,156.4015653
S1,FR,Production|Electricity|Renewable|Sea,TWh/year,0.393199663,0.345161997,0.45165327
S1,FR,Production|Electricity|Renewable|Biogas|CHP,TWh/year,2.028759411,1.780903488,2.3303576
S1,FR,Production|Electricity|Renewable|Biomass|CHP,TWh/year,1.367125832,1.468230674,1.921217255
S1,FR,Production|Electricity|Conventional|Waste,TWh/year,2.680094983,2.352664626,3.07852162
S1,FR,Production|Electricity|Renewable|Geothermal,TWh/year,0.004006222,0.045623053,0.059698928
S1,FR,Production|Electricity|Hydro|Reservoir,TWh/year,8.664228966,7.605705803,9.952265143
S1,FR,Production|Electricity|Hydro|Run of river,TWh/year,45.48720207,39.92995546,52.249392
S1,FR,Production|Electricity|Hydro Total,TWh/year,54.15143103,47.53566127,62.20165714
S1,FR,Production|Electricity|Total primary electricity without flexibility,TWh/year,550.0779581,553.119187,415.6142117
S1,FR,Consumption|Electricity|Exports,TWh/year,98.67991883,167.8012258,127.9227844
S1,FR,Production|Electricity|Imports,TWh/year,17.50754868,28.57660622,119.2609382
S1,FR,Balance|Electricity|Export-import balance,TWh/year,81.17237014,139.2246196,8.661846207
S1,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,3.064943229,4.785689478,8.114000916
S1,FR,Production|Electricity|Storage|Battery,TWh/year,8.83E-06,1.12E-05,0.355095909
S1,FR,Production|Electricity|Low to medium,TWh,1,1,1
S1,FR,Production|Electricity|Medium to high,TWh,1,1,1
S1,FR,Efficiency|Storage|Battery|Charge,%,85,90,90
S1,FR,Efficiency|Storage|Hydro|Pumped storage,%,70,75,80
S1,FR,Efficiency|Hydrogen|Electrolyzer,%,61,65,72
S1,FR,Production|Hydrogen|Transport|Steam methane reforming,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Fossil fuel refineries|Steam methane reforming,TWh H2/year,4.3,0,0
S1,FR,Production|Hydrogen|Biofuel refineries|Steam methane reforming,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Power to liquid|Steam methane reforming,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Ammonia|Steam methane reforming,TWh H2/year,7.3,6.1,4.9
S1,FR,Production|Hydrogen|Steel|Steam methane reforming,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Chemicals|Steam methane reforming,TWh H2/year,2.3,7,5.7
S1,FR,Production|Hydrogen|Power to gas|Steam methane reforming,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Transport|Steam methane reforming with Carbone Capture and Storage,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Fossil fuel refineries|Steam methane reforming with Carbone Capture and Storage,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Biofuel refineries|Steam methane reforming with Carbone Capture and Storage,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Power to liquid|Steam methane reforming with Carbone Capture and Storage,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Ammonia|Steam methane reforming with Carbone Capture and Storage,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Steel|Steam methane reforming with Carbone Capture and Storage,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Chemicals|Steam methane reforming with Carbone Capture and Storage,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Power to gas|Steam methane reforming with Carbone Capture and Storage,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Transport|Electrolysis,TWh H2/year,0,0,0.1
S1,FR,Production|Hydrogen|Fossil fuel refineries|Electrolysis,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Biofuel refineries|Electrolysis,TWh H2/year,0,0.9,1
S1,FR,Production|Hydrogen|Power to liquid|Electrolysis,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Ammonia|Electrolysis,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Steel|Electrolysis,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Chemicals|Electrolysis,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Power to gas|Electrolysis,TWh H2/year,0,3.3,42.8
S1,FR,Production|Hydrogen|Fossil fuel refineries|Co-produced|Oil refining,TWh H2/year,6.7,5,0
S1,FR,Production|Hydrogen|Imported|Electrolysis,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Total,TWh H2/year,16.3,22.1,54.5
S1,FR,Production|Hydrogen|Total from gas without co-produced from fossil fuels,TWh H2/year,9.6,13.1,10.6
S1,FR,Production|Hydrogen|Total from electrolysis,TWh H2/year,0,4,43.9
S1,FR,Production|Hydrogen|Share electrolysis over gas + electrolysis,%,0,23.39181287,80.55045872
S1,FR,Production|Hydrogen|Fossil fuel refineries|Empty,TWh H2/year,0,0,1
S1,FR,Production|Natural gas|Anaerobic digestion CIVE|Biogas,Nm3/year,1.50E+08,5.26E+08,5.22E+08
S1,FR,Production|Natural gas|Anaerobic digestion dedicated crops|Biogas,Nm3/year,1.03E+08,2.17E+07,0.00E+00
S1,FR,Production|Natural gas|Anaerobic digestion grass|Biogas,Nm3/year,1.35E+07,7.76E+07,4.91E+07
S1,FR,Production|Natural gas|Anaerobic digestion biowaste|Biogas,Nm3/year,1.32E+08,0.00E+00,0.00E+00
S1,FR,Production|Natural gas|Anaerobic digestion sewage sludge|Biogas,Nm3/year,0.00E+00,2.43E+07,2.03E+07
S1,FR,Production|Natural gas|Anaerobic digestion agricultural residues|Biogas,Nm3/year,3.76E+07,2.07E+08,2.74E+08
S1,FR,Production|Natural gas|Anaerobic digestion industrial wastewater|Biogas,Nm3/year,1.95E+08,7.53E+06,1.31E+06
